genome	gtdb_taxopath	gtdb_fastani_reference	genbank_assembly
MMP06670374	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia mytili	gtdb:GCF_002104475.1	insdc.gca:GCA_002104475.1
MMP06670373	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia sediminilitoris	gtdb:GCA_002104535.1	insdc.gca:GCA_002104535.1
MMP06670198	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Henriciella;s__Henriciella litoralis	gtdb:GCF_002088935.1	insdc.gca:GCA_002088935.1
MMP06670197	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Henriciella;s__Henriciella aquimarina	gtdb:GCF_002088975.1	insdc.gca:GCA_002088975.1
MMP06648058	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Oceanimonas;s__Oceanimonas baumannii	gtdb:GCF_002245495.1	insdc.gca:GCA_002245495.1
MMP06648056	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Oceanimonas;s__Oceanimonas doudoroffii	gtdb:GCF_002242685.1	insdc.gca:GCA_002242685.1
MMP06647985	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__EX4572-44;g__EX4572-44;s__EX4572-44 sp002254825	gtdb:GCA_002254825.2	insdc.gca:GCA_002254825.2
MMP06647983	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria		insdc.gca:GCA_002412205.1
MMP06644953	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinibacterium;s__Marinibacterium sp003217735	gtdb:GCF_003217735.1	insdc.gca:GCA_003217735.1
MMP06644928	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_S	gtdb:GCF_002799245.1	insdc.gca:GCA_002799245.1
MMP06640694	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp002825515	gtdb:GCA_002825515.1	insdc.gca:GCA_002825515.1
MMP06640693	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp002825535	gtdb:GCA_002825535.1	insdc.gca:GCA_002825535.1
MMP06640692	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__MP8T-1 sp002825465	gtdb:GCA_002825465.1	insdc.gca:GCA_002825465.1
MMP06626863	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001184025	gtdb:GCF_001184025.1	insdc.gca:GCA_002081495.1
MMP06626651	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia chukchiensis	gtdb:GCF_002104455.1	insdc.gca:GCA_002104455.1
MMP06626650	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia aestuarii	gtdb:GCF_002000025.1	insdc.gca:GCA_002104435.1
MMP06626649	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia polaris	gtdb:GCF_002104515.1	insdc.gca:GCA_002104515.1
MMP06621520	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Salinicola;s__Salinicola salarius_A	gtdb:GCF_002179555.1	insdc.gca:GCA_002179555.1
MMP06609018	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae		insdc.gca:GCA_003987495.1
MMP06609014	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae		insdc.gca:GCA_003987565.1
MMP06562579	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__HR1;g__HR1;s__HR1 sp002926195	gtdb:GCA_002926195.1	insdc.gca:GCA_002926195.1
MMP06554796	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus	gtdb:GCF_000007825.1	insdc.gca:GCA_002117855.1
MMP06554630	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A cereus	gtdb:GCF_000007825.1	insdc.gca:GCA_002117835.1
MMP06554453	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora wenchangensis	gtdb:GCF_002210435.1	insdc.gca:GCA_002210435.1
MMP06546664	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	gtdb:GCF_001558495.2	insdc.gca:GCA_002114605.1
MMP06546663	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	gtdb:GCF_001558495.2	insdc.gca:GCA_002114585.1
MMP06546662	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	gtdb:GCF_001558495.2	insdc.gca:GCA_002114595.1
MMP06545315	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudophaeobacter;s__Pseudophaeobacter leonis	gtdb:GCF_002087335.1	insdc.gca:GCA_002087335.1
MMP06545309	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas lionensis	gtdb:GCF_002087295.1	insdc.gca:GCA_002087295.1
MMP06490120	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	gtdb:GCF_001558495.2	insdc.gca:GCA_002144645.1
MMP06480608	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Pacificimonas;s__Pacificimonas flava_A	gtdb:GCF_002211145.1	insdc.gca:GCA_002211145.1
MMP06473058	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__UBA2779		insdc.gca:GCA_003676205.1
MMP06473056	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha		insdc.gca:GCA_003676185.1
MMP06473055	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha		insdc.gca:GCA_003676145.1
MMP06473054	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha		insdc.gca:GCA_003676115.1
MMP06473053	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha		insdc.gca:GCA_003676105.1
MMP06473052	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha		insdc.gca:GCA_003676175.1
MMP06473050	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha;s__Thiodiazotropha sp003094535	gtdb:GCA_003094535.1	insdc.gca:GCA_003094535.1
MMP06473049	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha;s__Thiodiazotropha sp003094555	gtdb:GCA_003094555.1	insdc.gca:GCA_003094555.1
MMP06473048	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha;s__Thiodiazotropha sp003094555	gtdb:GCA_003094555.1	insdc.gca:GCA_003094575.1
MMP06472904	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha;s__Thiodiazotropha sp003094535	gtdb:GCA_003094535.1	insdc.gca:GCA_003094475.1
MMP06472902	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha;s__Thiodiazotropha sp003094535	gtdb:GCA_003094535.1	insdc.gca:GCA_003094495.1
MMP06472901	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__Thiodiazotropha;s__Thiodiazotropha sp003094555	gtdb:GCA_003094555.1	insdc.gca:GCA_003094515.1
MMP06461361	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zobellia;s__Zobellia galactanivorans	gtdb:GCF_000973105.1	insdc.gca:GCA_002211465.1
MMP06457873	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__UBA2780;s__UBA2780 sp002352345	gtdb:GCA_002352345.1	insdc.gca:GCA_002352345.1
MMP06457872	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter;s__Limnobacter sp000170915	gtdb:GCF_000170915.1	insdc.gca:GCA_002377005.1
MMP06457871	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002694855	gtdb:GCA_002694855.1	insdc.gca:GCA_002376955.1
MMP06457866	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1;s__MedAcidi-G1 sp002294285	gtdb:GCA_002294285.1	insdc.gca:GCA_002377115.1
MMP06457865	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii	gtdb:GCF_000172635.2	insdc.gca:GCA_002377105.1
MMP06457864	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA2100;s__UBA2100 sp002331185	gtdb:GCA_002331185.1	insdc.gca:GCA_002377085.1
MMP06457844	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA5682;s__UBA5682 sp002477475	gtdb:GCA_002477475.1	insdc.gca:GCA_002430485.1
MMP06457838	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__Hyphomonas sp000682775	gtdb:GCF_000682775.1	insdc.gca:GCA_002337695.1
MMP06457835	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp000173115	gtdb:GCF_000173115.1	insdc.gca:GCA_002384245.1
MMP06457834	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__UBA9320;s__UBA9320 sp002384205	gtdb:GCA_002384205.1	insdc.gca:GCA_002384205.1
MMP06457799	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter hydrocarbonoclasticus	gtdb:GCF_000284615.1	insdc.gca:GCA_002312005.1
MMP06457793	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp002313585	gtdb:GCA_002313585.1	insdc.gca:GCA_002452995.1
MMP06457792	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__BACL21;s__BACL21 sp002707025	gtdb:GCA_002707025.1	insdc.gca:GCA_002453055.1
MMP06457791	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mesonia;s__Mesonia sp002413625	gtdb:GCA_002413625.1	insdc.gca:GCA_002453075.1
MMP06457790	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Pseudozobellia;s__Pseudozobellia sp002320855	gtdb:GCA_002320855.1	insdc.gca:GCA_002452945.1
MMP06457789	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__GCA-2863045;s__GCA-2863045 sp002863045	gtdb:GCA_002863045.1	insdc.gca:GCA_002452935.1
MMP06457788	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda sp002452975	gtdb:GCA_002452975.1	insdc.gca:GCA_002452975.1
MMP06457787	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita sp002715485	gtdb:GCA_002715485.1	insdc.gca:GCA_002453015.1
MMP06457784	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__Methylophaga sp002363955	gtdb:GCA_002363955.1	insdc.gca:GCA_002414365.1
MMP06457783	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Mf105b01;s__Mf105b01 sp002695905	gtdb:GCA_002695905.1	insdc.gca:GCA_002414455.1
MMP06457780	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__Methylophaga sp002696735	gtdb:GCA_002696735.1	insdc.gca:GCA_002415945.1
MMP06457777	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Balneola;s__Balneola sp002364085	gtdb:GCA_002364085.1	insdc.gca:GCA_002414985.1
MMP06457773	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas;s__Gracilimonas sp002694685	gtdb:GCA_002694685.1	insdc.gca:GCA_002414885.1
MMP06457680	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter flavimaris	gtdb:GCF_002933295.1	insdc.gca:GCA_002420275.1
MMP06457679	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA5691;s__UBA5691 sp002420265	gtdb:GCA_002420265.1	insdc.gca:GCA_002420265.1
MMP06457678	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002420235	gtdb:GCA_002420235.1	insdc.gca:GCA_002420235.1
MMP06457677	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__S36-B12 sp002729215	gtdb:GCA_002729215.1	insdc.gca:GCA_002420225.1
MMP06457676	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA5691;s__UBA5691 sp002420185	gtdb:GCA_002420185.1	insdc.gca:GCA_002420185.1
MMP06457672	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA11663;s__UBA11663 sp002863145	gtdb:GCA_002863145.1	insdc.gca:GCA_002450235.1
MMP06457671	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__TMED2;g__TMED2;s__TMED2 sp002168225	gtdb:GCA_002168225.1	insdc.gca:GCA_002448535.1
MMP06457670	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002167605	gtdb:GCA_002167605.1	insdc.gca:GCA_002450215.1
MMP06457661	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__UBA8317;g__UBA8317;s__UBA8317 sp002469865	gtdb:GCA_002469865.1	insdc.gca:GCA_002469865.1
MMP06457660	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000737575	gtdb:GCF_000737575.1	insdc.gca:GCA_002470335.1
MMP06457659	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__RCC307;s__RCC307 sp002470305	gtdb:GCA_002470305.1	insdc.gca:GCA_002470305.1
MMP06457658	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA5682;s__UBA5682 sp002477475	gtdb:GCA_002477475.1	insdc.gca:GCA_002470325.1
MMP06457657	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp002469845	gtdb:GCA_002469845.1	insdc.gca:GCA_002469845.1
MMP06457656	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita sp002469895	gtdb:GCA_002469895.1	insdc.gca:GCA_002469895.1
MMP06457655	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA7377;s__UBA7377 sp002170395	gtdb:GCA_002170395.1	insdc.gca:GCA_002470265.1
MMP06457654	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002470275	gtdb:GCA_002470275.1	insdc.gca:GCA_002470275.1
MMP06457653	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002477465	gtdb:GCA_002477465.1	insdc.gca:GCA_002470225.1
MMP06457652	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__UBA7378;s__UBA7378 sp002469805	gtdb:GCA_002469805.1	insdc.gca:GCA_002469805.1
MMP06457630	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__OM182;s__OM182 sp001438145	gtdb:GCA_001438145.1	insdc.gca:GCA_002430105.1
MMP06457618	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA5972;s__UBA5972 sp002430125	gtdb:GCA_002430125.1	insdc.gca:GCA_002430125.1
MMP06457605	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__UBA5976;g__UBA5976;s__UBA5976 sp002430405	gtdb:GCA_002430405.1	insdc.gca:GCA_002430405.1
MMP06457604	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA10365;s__UBA10365 sp003536295	gtdb:GCA_003536295.1	insdc.gca:GCA_002382485.1
MMP06457603	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__UBA3006;s__UBA3006 sp002367695	gtdb:GCA_002367695.1	insdc.gca:GCA_002382455.1
MMP06457602	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp002382445	gtdb:GCA_002382445.1	insdc.gca:GCA_002382445.1
MMP06457601	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA3015;g__UBA3015;s__UBA3015 sp001438005	gtdb:GCA_001438005.1	insdc.gca:GCA_002383555.1
MMP06457600	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp002384715	gtdb:GCA_002384715.1	insdc.gca:GCA_002384715.1
MMP06457599	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__BACL14;s__BACL14 sp002384685	gtdb:GCA_002384685.1	insdc.gca:GCA_002384095.1
MMP06457598	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__BACL21;s__BACL21 sp002384055	gtdb:GCA_002384055.1	insdc.gca:GCA_002384055.1
MMP06457597	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__TMED14;s__TMED14 sp001438205	gtdb:GCA_001438205.1	insdc.gca:GCA_002383545.1
MMP06457596	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__BACL27		insdc.gca:GCA_002382415.1
MMP06457595	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp000173115	gtdb:GCF_000173115.1	insdc.gca:GCA_002382825.1
MMP06457594	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pusillimonas;s__Pusillimonas sp002384935	gtdb:GCA_002384935.1	insdc.gca:GCA_002341445.1
MMP06457593	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter manganoxydans	gtdb:GCF_000235625.1	insdc.gca:GCA_002341425.1
MMP06457592	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1924;s__UBA1924 sp002337545	gtdb:GCA_002337545.1	insdc.gca:GCA_002341405.1
MMP06457591	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia;s__Gimesia maris	gtdb:GCF_000181475.1	insdc.gca:GCA_002341435.1
MMP06457590	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Thalassospiraceae;g__Thalassospira;s__Thalassospira tepidiphila	gtdb:GCF_001662875.1	insdc.gca:GCA_002341515.1
MMP06457589	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Balneola;s__Balneola sp002364085	gtdb:GCA_002364085.1	insdc.gca:GCA_002341545.1
MMP06457588	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp002341585	gtdb:GCA_002341585.1	insdc.gca:GCA_002341485.1
MMP06457587	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__Methylophaga sp002363955	gtdb:GCA_002363955.1	insdc.gca:GCA_002341505.1
MMP06457586	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp002354605	gtdb:GCA_002354605.1	insdc.gca:GCA_002341375.1
MMP06457585	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Celeribacter;s__Celeribacter baekdonensis_A	gtdb:GCF_000299875.1	insdc.gca:GCA_002341365.1
MMP06457535	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas;s__Gracilimonas sp002694685	gtdb:GCA_002694685.1	insdc.gca:GCA_002414585.1
MMP06457534	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__Methylophaga sp002706095	gtdb:GCA_002706095.1	insdc.gca:GCA_002414625.1
MMP06457533	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Haliea;s__Haliea sp002414665	gtdb:GCA_002414665.1	insdc.gca:GCA_002414665.1
MMP06457532	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp002354605	gtdb:GCA_002354605.1	insdc.gca:GCA_002415725.1
MMP06457531	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita sp002364215	gtdb:GCA_002364215.1	insdc.gca:GCA_002414725.1
MMP06457530	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Sneathiella;s__Sneathiella sp002694385	gtdb:GCA_002694385.1	insdc.gca:GCA_002414755.1
MMP06457529	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__koll-22;g__UBA5081;s__UBA5081 sp002415785	gtdb:GCA_002415785.1	insdc.gca:GCA_002415785.1
MMP06457528	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Balneola;s__Balneola sp002364085	gtdb:GCA_002364085.1	insdc.gca:GCA_002415805.1
MMP06457527	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas lipolytica	gtdb:GCF_900116435.1	insdc.gca:GCA_002414785.1
MMP06457526	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Thalassospiraceae;g__Thalassospira;s__Thalassospira xiamenensis	gtdb:GCF_000300235.2	insdc.gca:GCA_002415755.1
MMP06457525	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Neptuniibacter;s__Neptuniibacter sp002435145	gtdb:GCA_002435145.1	insdc.gca:GCA_002435145.1
MMP06457524	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas agarivorans	gtdb:GCF_002310855.1	insdc.gca:GCA_002435155.1
MMP06457523	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A sp003205815	gtdb:GCF_003205815.1	insdc.gca:GCA_002435225.1
MMP06457522	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__GCA-2863045;s__GCA-2863045 sp002863045	gtdb:GCA_002863045.1	insdc.gca:GCA_002436445.1
MMP06457521	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1280;f__UBA6503;g__UBA6503;s__UBA6503 sp002436405	gtdb:GCA_002436405.1	insdc.gca:GCA_002436405.1
MMP06457520	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA840;g__UBA6502;s__UBA6502 sp002436415	gtdb:GCA_002436415.1	insdc.gca:GCA_002436415.1
MMP06457519	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas australica	gtdb:GCF_000730385.1	insdc.gca:GCA_002436375.1
